ACADEMIC YEAR , SEM, COURSE NAME , COURSE TITLE , DEPT , INSTRUCTOR NAME, REGIST, DETAILS
2010-11 , 2 ,CHE381 ,PROCESS DYNAMICS AND CONTROL , CHE ,S K GUPTA,58,Click for details
2010-11 , 2 ,CHE391 ,UNIT OPERATION LABORATORY-I , CHE ,P K BHATTACHARYA,51,Click for details
2010-11 , 1 ,CHE452 ,COMPUTER APPLICATIONS IN CHEMICAL ENGG. , CHE ,RAJ PALA,46,Click for details
2010-11 , 2 ,CHE453 ,CHEMICAL ENGINEERING DESIGN , CHE ,RAJ PALA,47,Click for details
2010-11 , 2 ,CHE463 ,ELECTRONIC POLYMERIC &amp; CERAMIC MATERIALS &amp; PROCESSING , CHE ,A CHATTERJEE,47,Click for details
2010-11 , 1 ,CHE492 ,UNIT OPERATION LAB II , CHE ,N VERMA,45,Click for details
2010-11 , 1 ,CHE494 ,SUMMER IN-PLANT TRAINING , CHE ,G DEO,46,Click for details
2010-11 , 2 ,CHE494 ,SUMMER IN-PLANT TRAINING , CHE ,G DEO,1,Click for details
2010-11 , 1 ,CHE495 ,PROJECT-I , CHE ,G DEO,32,Click for details
2010-11 , 2 ,CHE496 ,PROJECT II , CHE ,G DEO,21,Click for details
2010-11 , 2 ,CHE600 ,RESEARCH METHODS &amp; SKILLS , CHE ,R P CHHABRA,14,Click for details
2010-11 , 1 ,CHE601 ,FUNDAMENTALS OF CHEMICAL ENGINEERING -I , CHE ,Y M JOSHI,18,Click for details
2010-11 , 1 ,CHE602 ,FUNDAMENTALS OF CHEMICAL ENGINEERING -II , CHE ,P APTE,17,Click for details
2010-11 , 1 ,CHE611 ,TRANSPORT PHENOMENA , CHE ,R P CHHABRA,23,Click for details
2010-11 , 2 ,CHE612 ,SCIENCE &amp; TECHNOLOGY OF DRUGS , CHE ,A KUMAR,29,Click for details
2010-11 , 2 ,CHE613 ,THE STRUCTURE &amp; RHEOLOGY OF COMPLEX FLUIDS , CHE ,Y M JOSHI,9,Click for details
2010-11 , 2 ,CHE617 ,NUCLEAR CHEMICAL ENGINEERING , CHE ,A K KHANNA,11,Click for details
2010-11 , 2 ,CHE618 ,NEW SEPARATION PROCESSES , CHE ,P K BHATTACHARYA,18,Click for details
2010-11 , 1 ,CHE621 ,THERMODYNAMICS , CHE ,J K SINGH,22,Click for details
2010-11 , 2 ,CHE622 ,INTRODUCTION TO MOLECULAR SIMULATIONS , CHE ,P A APTE,13,Click for details
2010-11 , 2 ,CHE623 ,THERMODYNAMICS OF FLUIDS AND FLUID MIXTURES , CHE ,J K SINGH,4,Click for details
2010-11 , 2 ,CHE631 ,CHEMICAL REACTION ENGINEERING , CHE ,A GHATAK,20,Click for details
2010-11 , 2 ,CHE632 ,ANALYSIS AND DESIGN OF MULTIPHASE REACTORS , CHE ,D KUNZRU,32,Click for details
2010-11 , 1 ,CHE633 ,PRINCIPLES OF HETEROGENEOUS CATALYSIS , CHE ,G DEO,34,Click for details
2010-11 , 2 ,CHE641 ,MATHEMATICAL METHODS IN CHEMICAL ENGINEERING , CHE ,SANJEEV GARG,9,Click for details
2010-11 , 1 ,CHE642 ,NUMERICAL METHODS IN CHEMICAL ENGINEERING , CHE ,N VERMA,28,Click for details
2010-11 , 1 ,CHE644 ,CFD OF MULTIPHASE REACTORS , CHE ,A KHANNA,7,Click for details
2010-11 , 1 ,CHE645 ,MODELLING AND SIMULATION IN CHEMICAL ENGINEERING , CHE ,A CHATTERJEE,32,Click for details
2010-11 , 1 ,CHE652 ,OPTIMIZATION , CHE ,S K GUPTA,10,Click for details
2010-11 , 1 ,CHE659 ,PROCESS ENGG. PRINCIPLES IN MICRO. FABRICATION , CHE ,S PANDA,37,Click for details
2010-11 , 1 ,CHE670 ,INTRODUCTION TO POLYMER SCIENCE AND TECHNOLOGY , CHE ,A KUMAR,39,Click for details
2010-11 , 1 ,CHE674 ,INTRODUCTION TO NANOSCIENCE AND TECHNOLOGY , CHE ,SRI SHIVAKUMAR,40,Click for details
2010-11 , 1 ,CHE678 ,MECHANICS OF SOFT MATERIALS , CHE ,A GHATAK,8,Click for details
2010-11 , 2 ,CHE679 ,SPECIAL TOPICS , CHE ,V SHANKAR,14,Click for details
2010-11 , 1 ,CHE681 ,ADVANCED PROCESS DYNAMICS &amp; CONTROL , CHE ,N KAISTHA,5,Click for details
2010-11 , 1 ,CHE684 ,AN INTRODUCTION TO SYSTEMS BIOLOGY , CHE ,R SINGH,36,Click for details
2010-11 , 2 ,CHE688 ,FUNDM. OF COLLOID &amp; INTERFACE SCI. &amp; TECH. , CHE ,A SHARMA,37,Click for details
2010-11 , 1 ,CHE699 ,M TECH THESIS , CHE ,CONVENER DPGC,38,Click for details
2010-11 , 2 ,CHE699 ,M TECH THESIS , CHE ,CONVENER DPGC,78,Click for details
2010-11 , 3 ,CHE699 ,M TECH THESIS , CHE ,CONVENER DPGC,21,Click for details
2010-11 , 1 ,CHE699. ,M TECH THESIS (FOR DUAL DEGREE ONLY) , CHE ,CONVENER DUGC,0
2010-11 , 2 ,CHE699. ,M TECH THESIS (FOR DUAL DEGREE ONLY) , CHE ,CONVENER DUGC,0
2010-11 , 3 ,CHE699. ,M TECH THESIS (FOR DUAL DEGREE ONLY) , CHE ,CONVENOR DUGC,0
2010-11 , 1 ,CHE701 ,M. TECH. SEMINAR , CHE ,P APTE,41,Click for details
2010-11 , 2 ,CHE702 ,M TECH SEMINAR , CHE ,R PALA,40,Click for details
